Time,"Temp:Acpitz,0","Temp:Acpitz,1","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Iwlwifi_1,0","Temp:Composite,0","Temp:Sensor1,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,"Power:package-0,0","Power:core,0","Power:uncore,0","Power:psys,0",Throttle
2026-04-26_20:26:54,51.0,47.0,51.0,45.0,43.0,52.0,39.0,38.0,35.9,35.9,2460,2075,2800,2800,2800,805,2800,2800,2800,13.5,0.5,1.5,100.0,0.5,0.0,1.0,2.9,1.9,7.0,4.2,0.7,2.3,
2026-04-26_20:26:56,51.0,47.0,51.0,45.0,43.0,51.0,41.0,38.0,35.9,35.9,2238,540,2800,2786,772,2800,2608,2800,2800,13.8,1.5,0.5,100.0,0.0,0.5,1.9,3.9,2.0,7.0,4.2,0.7,2.3,
2026-04-26_20:26:58,51.0,48.0,51.0,45.0,43.0,51.0,39.0,38.0,35.9,35.9,1868,894,2800,2800,655,400,1795,2800,2800,13.7,1.5,0.5,100.0,0.5,0.0,1.5,3.4,2.4,7.0,4.2,0.7,2.3,
2026-04-26_20:27:00,51.0,48.0,52.0,44.0,43.0,52.0,39.0,38.0,35.9,36.9,1483,919,977,1264,1440,2800,984,1329,2154,13.7,1.5,0.0,100.0,0.5,0.0,1.5,3.4,2.4,7.1,4.3,0.7,2.3,
2026-04-26_20:27:02,51.0,48.0,51.0,45.0,43.0,51.0,38.0,38.0,35.9,35.9,2166,1624,2800,2800,1161,603,2743,2800,2800,13.6,0.5,1.5,100.0,0.5,1.5,0.5,2.9,1.5,7.1,4.3,0.7,2.3,
2026-04-26_20:27:04,51.0,48.0,51.0,46.0,45.0,51.0,39.0,38.0,35.9,35.9,1918,948,964,2800,1021,2800,2544,2513,1757,13.9,0.0,2.0,100.0,0.5,0.5,1.5,4.4,2.4,7.0,4.3,0.7,2.3,
2026-04-26_20:27:06,51.0,48.0,50.0,45.0,43.0,50.0,41.0,38.0,35.9,35.9,1967,841,2800,2264,2800,1340,1688,2800,1201,13.7,0.0,1.9,100.0,0.5,0.0,1.5,3.9,1.5,7.0,4.2,0.7,2.3,
2026-04-26_20:27:09,51.0,48.0,51.0,46.0,43.0,52.0,39.0,38.0,35.9,35.9,2248,400,2800,2675,1089,2800,2621,2800,2800,13.6,0.0,2.0,100.0,0.0,0.0,0.5,3.9,2.0,7.0,4.2,0.7,2.3,
2026-04-26_20:27:11,51.0,48.0,51.0,45.0,43.0,51.0,39.0,38.0,35.9,35.9,1605,1148,671,2762,2800,496,2630,1499,837,13.7,0.5,2.0,99.5,0.5,0.0,1.5,3.4,2.0,7.0,4.2,0.7,2.3,
2026-04-26_20:27:13,51.0,48.0,51.0,45.0,43.0,51.0,39.0,38.0,35.9,35.9,2501,775,2800,2800,2800,2800,2435,2800,2800,13.7,1.0,1.5,100.0,0.0,1.9,1.0,2.9,1.5,7.1,4.3,0.7,2.3,
2026-04-26_20:27:15,51.0,48.0,51.0,46.0,42.0,52.0,41.0,38.0,35.9,35.9,1931,470,2800,2799,637,476,2669,2800,2800,13.4,1.5,0.5,100.0,1.0,0.0,1.0,2.9,0.0,7.0,4.3,0.7,2.3,
2026-04-26_20:27:17,51.0,48.0,52.0,45.0,42.0,52.0,38.0,38.0,35.9,35.9,2490,2800,2800,2800,703,2800,2423,2800,2800,13.7,2.5,1.0,100.0,1.5,0.5,1.0,3.4,0.0,7.0,4.2,0.7,2.3,
2026-04-26_20:27:19,51.0,48.0,52.0,46.0,43.0,52.0,39.0,38.0,35.9,35.9,2384,813,2800,2800,1458,2800,2800,2800,2800,13.6,1.5,0.5,100.0,1.0,0.0,1.5,3.9,0.5,7.0,4.3,0.7,2.3,
2026-04-26_20:27:21,51.0,48.0,50.0,45.0,42.0,49.0,41.0,38.0,35.9,35.9,1448,2800,1181,1316,529,400,1158,1400,2800,13.6,0.5,1.5,100.0,0.5,0.5,0.5,4.4,0.5,7.0,4.2,0.7,2.3,
2026-04-26_20:27:23,51.0,48.0,51.0,46.0,43.0,52.0,39.0,38.0,35.9,35.9,2381,1401,2800,2800,1074,2800,2579,2800,2800,13.7,0.0,1.5,100.0,0.5,2.0,1.5,3.4,0.5,7.0,4.3,0.7,2.3,
