Time,"Temp:Acpitz,0","Temp:Acpitz,1","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Iwlwifi_1,0","Temp:Composite,0","Temp:Sensor1,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,"Power:package-0,0","Power:core,0","Power:uncore,0","Power:psys,0",Throttle
2026-04-23_13:08:45,55.0,51.0,55.0,49.0,47.0,54.0,44.0,39.0,34.9,35.9,1847,1322,2800,1300,1300,2800,992,1460,2800,14.0,2.0,0.0,100.0,2.5,0.5,2.4,3.9,1.0,6.9,4.0,0.7,2.2,
2026-04-23_13:08:47,55.0,51.0,56.0,48.0,47.0,56.0,43.0,39.0,35.9,34.9,2181,1048,1621,2800,2764,2800,2800,1926,1688,13.8,0.5,2.0,100.0,2.4,0.5,2.0,3.4,0.0,6.9,4.1,0.7,2.2,
2026-04-23_13:08:49,55.0,51.0,56.0,50.0,47.0,56.0,43.0,39.0,34.9,34.9,2268,814,630,2757,2744,2800,2800,2800,2800,13.9,0.0,3.4,100.0,2.4,0.0,1.9,2.9,0.5,6.9,4.1,0.7,2.2,
2026-04-23_13:08:51,55.0,52.0,55.0,51.0,47.0,55.0,44.0,39.0,34.9,34.9,2133,1598,1786,2270,2019,2800,2800,2466,1323,14.3,2.4,2.5,100.0,3.4,1.0,2.9,1.9,0.5,6.9,4.1,0.7,2.2,
2026-04-23_13:08:53,55.0,52.0,56.0,50.0,48.0,56.0,43.0,39.0,34.9,34.9,2544,2800,2800,2800,2800,2800,2800,1766,1786,13.9,2.0,3.4,100.0,3.9,0.0,0.5,1.5,0.0,6.9,4.1,0.7,2.2,
2026-04-23_13:08:55,55.0,52.0,57.0,50.0,47.0,57.0,44.0,39.0,34.9,34.9,1937,1226,2800,2799,2009,2800,465,2800,595,13.8,2.9,1.0,100.0,1.9,1.0,0.0,2.9,0.5,6.9,4.1,0.7,2.2,
2026-04-23_13:08:57,56.0,52.0,55.0,50.0,47.0,54.0,44.0,39.0,34.9,34.9,1508,1937,1212,1300,1300,1212,2800,1483,818,13.9,2.9,0.5,100.0,2.0,2.0,0.5,2.9,0.5,6.9,4.1,0.7,2.2,
2026-04-23_13:08:59,55.0,52.0,56.0,50.0,49.0,56.0,45.0,39.0,34.9,34.9,2541,1352,2800,2799,2795,2800,2800,2182,2800,13.8,2.0,0.0,100.0,2.0,2.5,0.0,3.4,0.5,6.9,4.1,0.7,2.2,
2026-04-23_13:09:01,56.0,52.0,56.0,50.0,49.0,56.0,45.0,39.0,34.9,34.9,1837,609,2800,2800,2249,607,1449,2799,1385,14.2,2.0,1.0,99.5,3.4,0.5,0.0,4.4,2.4,7.1,4.1,0.8,2.3,
2026-04-23_13:09:03,56.0,52.0,57.0,50.0,49.0,57.0,44.0,39.0,34.9,34.9,2262,1095,2800,2800,1733,2800,2092,2691,2084,13.9,2.4,1.0,100.0,2.0,0.5,0.0,2.9,2.4,7.0,4.1,0.7,2.2,
