Time,"Temp:Acpitz,0","Temp:Acpitz,1","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Iwlwifi_1,0","Temp:Composite,0","Temp:Sensor1,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,"Power:package-0,0","Power:core,0","Power:uncore,0","Power:psys,0",Throttle
2026-04-23_03:37:12,56.0,51.0,56.0,50.0,47.0,56.0,43.0,38.0,35.9,35.9,2388,1619,2800,2800,691,2800,2800,2800,2800,14.0,2.0,1.0,100.0,0.5,2.4,2.0,0.0,4.4,7.0,4.2,0.7,2.3,
2026-04-23_03:37:14,56.0,51.0,57.0,48.0,47.0,56.0,42.0,38.0,36.9,37.9,2630,1821,2420,2799,2800,2800,2800,2800,2800,13.9,2.5,1.5,100.0,0.0,2.4,2.0,0.5,2.4,7.0,4.2,0.7,2.3,
2026-04-23_03:37:17,56.0,51.0,56.0,48.0,47.0,56.0,42.0,38.0,37.9,35.9,2606,1278,2800,2780,2800,2800,2800,2795,2800,13.8,3.9,1.5,100.0,1.0,0.5,2.0,0.0,1.9,7.0,4.2,0.7,2.3,
2026-04-23_03:37:19,56.0,51.0,54.0,50.0,47.0,54.0,44.0,38.0,35.9,35.9,1852,1316,1731,1316,2800,2800,755,2800,1300,14.3,2.0,1.9,100.0,2.9,0.0,1.9,1.0,4.8,7.1,4.2,0.7,2.3,
2026-04-23_03:37:21,55.0,51.0,57.0,50.0,47.0,57.0,44.0,38.0,35.9,36.9,2708,2557,2800,2754,2800,2800,2800,2353,2800,13.8,1.5,2.0,100.0,0.0,0.5,2.0,0.0,4.4,7.0,4.2,0.7,2.3,
2026-04-23_03:37:23,55.0,51.0,56.0,50.0,47.0,56.0,44.0,38.0,35.9,36.9,2242,2800,2800,2800,1458,1001,2800,2800,1479,14.0,3.9,1.9,100.0,1.5,0.5,1.0,0.5,2.4,7.1,4.2,0.8,2.3,
2026-04-23_03:37:25,56.0,51.0,55.0,50.0,47.0,55.0,44.0,38.0,36.9,35.9,2057,1589,1624,1671,739,2800,2800,2800,2436,13.8,2.0,2.0,100.0,2.4,0.5,0.0,0.5,2.9,7.0,4.2,0.7,2.3,
2026-04-23_03:37:27,55.0,51.0,56.0,50.0,47.0,56.0,42.0,38.0,35.9,35.9,2718,2257,2800,2800,2800,2691,2800,2800,2800,14.0,1.0,1.0,100.0,2.0,2.9,0.0,1.0,3.9,7.0,4.2,0.7,2.3,
2026-04-23_03:37:29,55.0,51.0,56.0,48.0,47.0,56.0,43.0,38.0,35.9,35.9,2485,914,2800,2799,2800,2167,2800,2800,2800,14.2,0.0,4.9,100.0,2.9,1.5,0.5,2.4,1.5,7.1,4.2,0.7,2.3,
2026-04-23_03:37:31,55.0,51.0,56.0,50.0,47.0,56.0,44.0,39.0,35.9,35.9,1877,1349,797,2800,830,2556,1090,2800,2800,14.2,4.4,2.5,100.0,1.0,2.4,0.5,0.5,1.9,7.1,4.2,0.7,2.3,
2026-04-23_03:37:33,56.0,51.0,56.0,50.0,47.0,56.0,44.0,37.0,35.9,35.9,2399,1727,665,2799,2800,2800,2800,2799,2800,13.7,2.0,3.4,100.0,1.5,1.5,0.0,0.0,1.5,7.0,4.2,0.7,2.3,
2026-04-23_03:37:35,56.0,51.0,55.0,50.0,47.0,55.0,43.0,37.0,35.9,35.9,1644,1178,1060,2603,980,2625,2800,1087,819,14.1,2.5,2.5,100.0,4.4,2.9,0.0,0.0,0.5,7.1,4.2,0.7,2.3,
2026-04-23_03:37:37,55.0,51.0,57.0,51.0,47.0,57.0,44.0,38.0,35.9,35.9,2517,2800,2800,2800,539,2800,2800,2800,2800,14.0,3.9,2.0,99.5,3.4,2.0,1.0,0.5,0.0,7.1,4.2,0.7,2.3,
2026-04-23_03:37:39,56.0,51.0,57.0,48.0,48.0,57.0,44.0,37.0,35.9,35.9,2634,1739,2800,2800,2800,2538,2800,2800,2800,13.9,4.4,2.4,100.0,2.5,1.5,0.5,0.0,0.0,7.0,4.2,0.7,2.3,
2026-04-23_03:37:41,56.0,51.0,54.0,50.0,47.0,54.0,44.0,37.0,35.9,35.9,1958,864,2491,2565,1167,1550,2800,1429,2800,14.0,1.0,2.0,100.0,2.0,2.0,0.0,4.4,0.5,7.0,4.2,0.7,2.3,
2026-04-23_03:37:43,56.0,51.0,57.0,50.0,47.0,56.0,44.0,37.0,35.9,35.9,2667,2544,2800,2800,2800,2800,2800,1993,2800,13.9,3.9,2.0,100.0,2.5,1.5,0.5,0.5,0.0,7.0,4.2,0.7,2.3,
2026-04-23_03:37:45,55.0,51.0,56.0,48.0,47.0,56.0,44.0,37.0,35.9,35.9,2800,2800,2800,2800,2800,2800,2800,2800,2800,14.0,2.0,1.5,100.0,2.0,1.5,0.0,4.9,0.0,7.1,4.2,0.7,2.3,
2026-04-23_03:37:47,55.0,52.0,56.0,50.0,47.0,54.0,44.0,37.0,35.9,35.9,1881,889,722,1400,2800,2236,2800,1400,2800,14.4,5.4,2.9,100.0,2.0,2.0,0.5,2.0,0.5,7.1,4.2,0.7,2.3,
2026-04-23_03:37:49,56.0,51.0,56.0,50.0,47.0,57.0,44.0,37.0,35.9,35.9,2551,814,2800,2800,2800,2800,2800,2800,2800,14.2,3.9,2.9,100.0,0.5,2.4,1.0,2.5,0.5,7.0,4.2,0.7,2.3,
