Time,"Temp:Acpitz,0","Temp:Acpitz,1","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Iwlwifi_1,0","Temp:Composite,0","Temp:Sensor1,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,"Power:package-0,0","Power:core,0","Power:uncore,0","Power:psys,0",Throttle
2026-04-23_03:45:17,55.0,51.0,56.0,50.0,47.0,56.0,43.0,37.0,36.9,35.9,2794,2800,2800,2800,2800,2800,2756,2800,2800,14.1,4.4,0.0,100.0,1.5,1.0,2.9,0.0,2.9,7.0,4.2,0.7,2.3,
2026-04-23_03:45:19,55.0,51.0,56.0,50.0,46.0,56.0,43.0,37.0,35.9,35.9,2643,1544,2800,2800,2800,2800,2800,2800,2800,14.0,3.4,0.0,100.0,2.0,0.0,4.4,0.0,2.0,7.1,4.2,0.7,2.3,
2026-04-23_03:45:21,55.0,51.0,56.0,50.0,47.0,55.0,43.0,38.0,35.9,35.9,2066,1300,2800,1366,2800,2800,1324,2800,1339,13.9,4.9,0.5,100.0,0.0,0.0,3.4,0.0,2.5,7.0,4.2,0.7,2.3,
2026-04-23_03:45:23,55.0,51.0,56.0,51.0,47.0,56.0,42.0,37.0,35.9,35.9,2665,1824,2742,2800,2800,2800,2755,2800,2800,14.1,0.5,3.9,100.0,2.4,1.0,3.9,0.0,1.4,7.1,4.2,0.8,2.3,
2026-04-23_03:45:25,55.0,51.0,56.0,50.0,47.0,57.0,43.0,37.0,35.9,35.9,2204,1050,1865,2800,717,2800,2799,2800,2800,14.0,3.9,2.4,100.0,1.0,0.5,2.0,0.0,2.5,7.1,4.2,0.7,2.3,
2026-04-23_03:45:27,55.0,51.0,56.0,48.0,47.0,57.0,44.0,37.0,35.9,35.9,1960,505,1267,2800,2800,2800,2571,1848,1094,14.2,3.9,3.4,100.0,0.5,0.5,2.4,0.0,2.9,7.1,4.2,0.8,2.3,
2026-04-23_03:45:29,55.0,51.0,57.0,51.0,47.0,57.0,43.0,37.0,35.9,35.9,2315,911,2800,2800,2800,2800,814,2799,2800,14.4,1.0,4.9,100.0,2.4,0.0,2.0,1.4,3.4,7.0,4.2,0.7,2.3,
2026-04-23_03:45:31,56.0,51.0,56.0,50.0,47.0,56.0,45.0,37.0,35.9,35.9,2602,1311,2800,2800,2800,2800,2800,2800,2711,14.0,3.9,1.0,99.5,0.0,0.5,2.5,2.9,2.0,7.0,4.2,0.7,2.3,
2026-04-23_03:45:33,56.0,51.0,57.0,50.0,47.0,57.0,44.0,37.0,36.9,35.9,2237,2739,2800,2734,592,2800,636,2800,2800,14.1,6.3,0.5,100.0,0.5,0.5,2.9,0.0,2.4,7.0,4.2,0.8,2.3,
2026-04-23_03:45:35,56.0,51.0,55.0,49.0,47.0,55.0,44.0,37.0,35.9,35.9,2211,2775,1399,2776,2800,2800,1281,2800,1058,13.8,1.9,4.4,100.0,0.0,0.5,1.9,0.0,1.5,7.0,4.2,0.7,2.3,
2026-04-23_03:45:37,56.0,51.0,57.0,50.0,47.0,56.0,43.0,37.0,35.9,35.9,2800,2800,2800,2800,2800,2800,2800,2800,2800,14.2,4.9,4.4,100.0,0.5,0.5,1.5,0.0,1.5,7.0,4.2,0.7,2.3,
2026-04-23_03:45:39,56.0,51.0,56.0,50.0,47.0,56.0,44.0,37.0,35.9,35.9,2635,2800,2800,2800,2800,2800,1488,2793,2800,14.0,4.4,1.5,100.0,0.5,0.5,2.9,0.0,2.4,7.0,4.2,0.7,2.3,
2026-04-23_03:45:41,56.0,51.0,54.0,48.0,47.0,54.0,43.0,38.0,35.9,35.9,1534,1382,2116,1461,1258,2800,507,1584,1162,14.0,2.5,2.0,100.0,0.5,0.5,1.5,0.0,4.9,7.1,4.2,0.7,2.3,
2026-04-23_03:45:43,55.0,51.0,56.0,50.0,47.0,56.0,44.0,38.0,35.9,35.9,2283,2486,2800,2800,595,2800,1184,2800,2800,13.9,2.0,3.9,100.0,0.5,0.5,2.4,0.0,2.0,7.0,4.2,0.7,2.3,
2026-04-23_03:45:45,55.0,51.0,56.0,50.0,47.0,56.0,44.0,38.0,35.9,35.9,1920,1613,2800,2799,593,2800,573,2769,1414,14.0,2.4,1.5,100.0,1.0,0.5,2.5,0.0,3.9,7.0,4.2,0.7,2.3,
2026-04-23_03:45:48,55.0,51.0,55.0,50.0,47.0,55.0,43.0,38.0,35.9,35.9,2285,1509,2018,2663,889,2800,2800,2800,2800,14.1,2.9,2.9,100.0,0.5,1.0,1.0,0.0,4.4,7.1,4.3,0.7,2.3,
2026-04-23_03:45:50,56.0,51.0,57.0,50.0,47.0,57.0,43.0,38.0,35.9,35.9,2269,941,493,2800,2800,2800,2800,2718,2800,13.9,3.4,1.0,100.0,1.0,4.4,0.5,0.0,1.0,7.1,4.2,0.7,2.3,
2026-04-23_03:45:52,56.0,51.0,57.0,51.0,47.0,57.0,42.0,37.0,35.9,35.9,2463,2800,2800,2800,2800,2800,1266,2799,1637,14.0,2.5,2.0,100.0,1.5,5.3,0.0,0.5,0.5,7.0,4.2,0.7,2.3,
2026-04-23_03:45:54,55.0,51.0,55.0,51.0,47.0,55.0,44.0,38.0,35.9,35.9,2196,1911,1337,2800,2800,2800,1182,2800,1938,14.0,2.0,0.5,100.0,2.0,2.4,4.9,0.0,0.5,7.0,4.2,0.7,2.3,
2026-04-23_03:45:56,56.0,51.0,57.0,51.0,47.0,57.0,43.0,37.0,35.9,35.9,2800,2800,2800,2800,2800,2800,2800,2800,2800,13.9,2.4,2.9,100.0,2.0,0.5,3.4,0.0,0.0,7.0,4.2,0.7,2.3,
2026-04-23_03:45:58,56.0,51.0,57.0,51.0,47.0,57.0,43.0,37.0,35.9,35.9,2466,2399,1582,2800,2800,2800,1750,2800,2800,13.9,3.0,0.5,100.0,2.0,1.5,3.9,0.0,0.0,7.1,4.2,0.7,2.3,
2026-04-23_03:46:00,55.0,51.0,57.0,50.0,47.0,57.0,43.0,38.0,35.9,35.9,1925,2469,2800,2800,702,2800,592,2800,441,14.0,2.4,1.9,100.0,2.0,1.0,4.9,0.0,0.0,7.0,4.2,0.8,2.3,
2026-04-23_03:46:02,56.0,51.0,54.0,51.0,47.0,54.0,44.0,38.0,35.9,35.9,2165,1946,2800,1970,1118,1911,2800,1981,2800,14.0,2.0,0.0,100.0,2.9,1.4,3.9,0.5,1.5,7.0,4.2,0.7,2.3,
2026-04-23_03:46:04,56.0,51.0,56.0,51.0,47.0,57.0,44.0,37.0,35.9,35.9,2107,2731,831,2800,2800,2800,1459,2800,637,13.9,2.0,1.5,100.0,2.0,0.5,0.5,0.0,4.4,7.0,4.2,0.7,2.3,
2026-04-23_03:46:06,56.0,51.0,57.0,50.0,47.0,57.0,44.0,37.0,35.9,35.9,2080,1197,2800,2800,981,2800,456,2805,2800,14.1,0.5,2.0,100.0,0.0,1.5,4.9,2.4,1.5,7.1,4.1,0.8,2.3,
